	000001.sz	000002.sz	000009.sz	000024.sz	000039.sz	000069.sz	000400.sz	000401.sz	000402.sz	000425.sz	000536.sz	000562.sz	000581.sz	000598.sz	000623.sz	000629.sz	000630.sz	000656.sz	000686.sz	000728.sz
144	14.48	14.42	11.78	36.9	11.27	10.41	15.76	16.27	15.85	16.45	4.83	13.28	7.55	2.81	36.54	5.56	23.45	15.66	46.78	26.52
145	14.19	14.22	11.54	36.9	11.18	10.59	15.54	16.21	15.88	16.15	4.83	13.49	7.7	2.76	36.67	5.53	24.31	16.44	47.59	26.8
146	14.44	14.17	11.47	35.9	11.66	10.47	15.62	16.16	15.78	16	4.83	13.79	7.77	2.8	37.25	5.57	25.5	17.26	49.55	27.09
147	14.44	14.24	11.56	35.26	12.41	10.34	16.26	15.7	16	16.2	4.83	13.69	7.7	2.87	37.04	5.83	24.7	16.88	48.88	26.8
148	14.88	13.2	10.71	32.9	11.46	9.31	14.78	15	14.99	14.98	4.83	12.75	7.32	2.65	35.22	5.6	22.45	16.88	44	24.66
149	16.36	12.9	10.34	31.9	12.04	8.95	14.85	14.79	14.56	14.93	4.83	13.06	7.19	2.65	35.13	5.66	22.72	16.04	45	25.19
150	16.36	13.36	10.63	33.19	12.7	9.34	15.49	15.6	14.85	15.6	4.83	13.39	7.38	2.79	36.67	5.69	24.38	16	46.21	26.1
151	16.16	13.24	10.56	32.55	13.9	9.1	15.38	16.21	14.48	16.42	4.83	13.51	7.45	2.87	37.49	5.77	24.55	16	46.13	26.62
152	15.65	13.31	10.8	32.8	13.82	9.17	15.15	16.4	14.28	16.53	4.83	13.23	7.48	2.82	36.86	5.77	24.1	15.24	45.44	25.8
153	15.73	13.15	10.6	31.8	13.46	8.89	15.52	16.72	14.04	15.94	4.83	13.1	7.69	2.81	35.26	5.71	24.4	15.34	44.58	25.96
154	14.99	13.29	11.06	32.35	12.91	9.1	16.32	16.1	14.28	15.34	4.83	12.61	7.64	2.98	33.72	5.66	23.02	15.57	42.93	24.87
155	14.71	12.75	10.46	30.88	12.17	8.81	16.12	15.42	13.61	14.99	4.83	12.25	7.27	2.78	32.69	5.63	21.51	14.9	43.1	24.4
156	14.35	12.54	10.18	30.29	12.49	8.92	15.85	15.2	13.5	15.19	4.83	12.29	7.27	2.78	32.37	5.63	22.11	14.17	43.2	24.28
157	14.43	12.67	10.25	30.68	12.29	9.23	16.59	15.69	13.86	15.44	4.83	12.4	7.39	2.77	32.13	6.19	21.39	14.45	42.51	23.84
158	13.98	12.54	10.01	31.5	11.54	9.39	16.9	15.22	13.7	14.63	4.83	11.67	7.57	2.55	30.77	5.71	19.95	14.4	42.51	22.02
159	14.54	12.79	10.22	32.8	11.73	9.98	16.45	15.5	14	14.43	4.83	11.9	7.66	2.53	31.25	5.67	21.18	15.12	40.8	22.73
